name,asciiname,country,lat,lon,timezone,population
Shanghai,Shanghai,CN,31.22222,121.45806,Asia/Shanghai,24874500
Beijing,Beijing,CN,39.9075,116.39723,Asia/Shanghai,18960744
Shenzhen,Shenzhen,CN,22.54554,114.0683,Asia/Shanghai,17494398
Guangzhou,Guangzhou,CN,23.11667,113.25,Asia/Shanghai,16096724
Kinshasa,Kinshasa,CD,-4.32758,15.31357,Africa/Kinshasa,16000000
Istanbul,Istanbul,TR,41.01384,28.94966,Europe/Istanbul,15701602
Lagos,Lagos,NG,6.45407,3.39467,Africa/Lagos,15388000
Ho Chi Minh City,Ho Chi Minh City,VN,10.82302,106.62965,Asia/Ho_Chi_Minh,14002598
Chengdu,Chengdu,CN,30.66667,104.06667,Asia/Shanghai,13568357
Lahore,Lahore,PK,31.558,74.35071,Asia/Karachi,13004135
Mumbai,Mumbai,IN,19.07283,72.88261,Asia/Kolkata,12691836
São Paulo,Sao Paulo,BR,-23.5475,-46.63611,America/Sao_Paulo,12400232
Mexico City,Mexico City,MX,19.42847,-99.12766,America/Mexico_City,12294193
Karachi,Karachi,PK,24.8608,67.0104,Asia/Karachi,11624219
Tianjin,Tianjin,CN,39.14222,117.17667,Asia/Shanghai,11090314
Delhi,Delhi,IN,28.65195,77.23149,Asia/Kolkata,11034555
Wuhan,Wuhan,CN,30.58333,114.26667,Asia/Shanghai,10392693
Moscow,Moscow,RU,55.75204,37.61781,Europe/Moscow,10381222
Dhaka,Dhaka,BD,23.7104,90.40744,Asia/Dhaka,10356500
Seoul,Seoul,KR,37.566,126.9784,Asia/Seoul,10349312
Tokyo,Tokyo,JP,35.6895,139.69171,Asia/Tokyo,9733276
Dongguan,Dongguan,CN,23.01797,113.74866,Asia/Shanghai,9644871
Cairo,Cairo,EG,30.06263,31.24967,Africa/Cairo,9606916
Xi’an,Xi'an,CN,34.25833,108.92861,Asia/Shanghai,9600000
Johannesburg,Johannesburg,ZA,-26.20227,28.04363,Africa/Johannesburg,9418183
Nanjing,Nanjing,CN,32.06167,118.77778,Asia/Shanghai,9314685
Hangzhou,Hangzhou,CN,30.29365,120.16142,Asia/Shanghai,9236032
Foshan,Foshan,CN,23.02677,113.13148,Asia/Shanghai,9042509
London,London,GB,51.50853,-0.12574,Europe/London,8961989
New York City,New York City,US,40.71427,-74.00597,America/New_York,8804190
Jakarta,Jakarta,ID,-6.21462,106.84513,Asia/Jakarta,8540121
Bengaluru,Bengaluru,IN,12.97194,77.59369,Asia/Kolkata,8495492
Hanoi,Hanoi,VN,21.0245,105.84117,Asia/Bangkok,8053663
Taipei,Taipei,TW,25.05306,121.52639,Asia/Taipei,7871900
Lima,Lima,PE,-12.04318,-77.02824,America/Lima,7737002
Bogotá,Bogota,CO,4.60971,-74.08175,America/Bogota,7674366
Chongqing,Chongqing,CN,29.56026,106.55771,Asia/Shanghai,7457599
Hong Kong,Hong Kong,HK,22.27832,114.17469,Asia/Hong_Kong,7396076
Baghdad,Baghdad,IQ,33.34058,44.40088,Asia/Baghdad,7216000
